text,rating
pengajuan ulang gopay pinjem di tolak setelah di lunasi .. gak jelas banget .. padahal yg pertama bisa ACC .. giliran di lunasin lgsg di blokir .. tau gitu GK usah di bayar aja !,1
tolong dong perubahan area yg jelas... dong orderan susah banget... kasian driver kerja malah ga dapat2 orerann... kasian ada keluarga yg menunggu dirumah...,5
ok 🌟🌟🌟🌟🌟👍,5
sangat membantu,5
oke,5
cepet,5
baik,5
lebih memudahkan segalanya,5
"sudah 4 hari ini semua pelanggan kalau order susah dapat driver, tolong sangat diperhatikan jgn sampai beralih ke ojek lain. jgn terlalu banyak diutak-atik kalau malah menyebabkan pelanggan kabur",5
"Padahal tidak melakukan tindak kriminal, tetap saja di PM. Dasar GOJEK Perusahaan YAHUDI, gak punya Kebijaksanaan. Untung ada MAXIM & inDriver... 💰👍",1
"Mau bikin akun malah nomor telponnya udah dipake orang sebelumnya, mau masuk GK bisa, mau hapus GK bisa, udah kirim email malah disuruh lewat aplikasi, niat mau chat kendala malah isinya bot semua, udah ikut instruksi tetap gak bisa dan cuma muter-muter doang instruksinya, lama-lama bangkrut kalo kek gini kalian.⚠️⚠️⚠️",1
g ngotak utang 30rb telat sehari doang denda 50rb. d platform yang lain g segitunya. noh gua lunasin abis itu gua hapus akunnya 🤬🤬🤬,1
lebih baik,5
memudahkan dalam segala hal beli makan antar orderan antar ke tujuan,5
ok,5
gojek sangat membantu saya untuk aktivitas harian dr antar jemput anak dan aktivitas lain nya.. tp entah knp akhir2 ini oder gojek jd agak susah di dapat.. saat di pagi hari.. sekali dapat itu pun dengen jarak gojek nya sangat jauh sekali..,5
"makin kesini kok makin kayak begini aplikasi nya jek , bnerin lah sistem nya , orang pesen 1 malah datang 2 kan jadi gk enak jek , kalau kayak gini kepercayaan penumpang makin ilang jek , gimna mau ada perkembangan jek",2
good👍,5
penyelamat di setiap kemanapun pergi terimakasih gojek.. apk Ter the best 👍,5
bagus,5
selalu telat saat ngantarin pesanan,1
mantap,5
"Membantu dan baiknya sudah jangkau papua, tinggal Nabire yang ditunggu krn byk kuliner enak tp blm ada gojek utk gofood",5
"pengguna baru, jika nyaman dan profesional saya naikan bintang 5 ***** bila pesanan saya: *TEPAT, TERUJI sasaran, TIDAK RIBET, FOKUSNYA PELANGGAN*",4
nice,5
kalo ikut panduan Alhamdulillah teratasi masalah sama kendala yg ada makasi ya min 🙏🙏🙏,5
"Saya pernah dilecehkan oleh driver gojek, tetapi gojek tidak mau menanggapi hanya karena kurangnya bukti. Semenjak kejadian itu saya trauma naik ojol.",1
mudah,5
bagus lah,4
"kenapa saat mau login gojek selalu ga bisa ya selalu terhenti di verifikasi wajah sama kayak aku mau login ke gopay katanya pencahayaannya kurang padahal pencahayaan sudah bagus, aku sudah lepas kacamata, foto tidak buram. tolong dong dibantu sampai saat ini aku ga bisa masuk ke akun gojek dan gopay aku",4
"untuk gocar daerah majalengka, kadipaten banyak supir yang minta uang lebih, 5km minta nya 100rb, di aplikasi padahal 65rb, tertibkan min 🗿 gak bener",1
oke,5
untuk layanan gosend terutama gosend multifungsi.. itu potongan nya terlalu ngeri hampir 75% lebih.. kasian para driver lain.. itu saja info dari saya🙏,5
Bik,5
banyak²in promo yaa hehehe 🙏😍,5
Sejauh ini baik.Trims.,5
good,4
👍,5
"kenapa akhir-akhir ini gojek suka susah nemuin titik lokasi,padahal sebelum2nya gampang.ditambah drivernya susah di chat..tolong diperbaiki",2
nyamannya,5
"pelayanan sudah bagus & nyaman, tapi terkadang ada oknum yang narik sambil merokok!",5
Bagus membantu,5
"drivernya tau jalan, padahal saya belum pernah ke alamat tempat tujuan itu 👍👍👍",5
driver min atitude maen nylonong masuk aja tolol,1
mamtap🐋😭🐋👍👍👍,5
kadang pesan gofood gak ada kembalian. biasakan driver mitra kalian siapin uang kecil buat kembalian! maaf saya kasih rating 1. 😞,1
"go food nya jelek, nggak bisa cancel padahal restoran nya tutup. kalo driver yang cancel akan mencari driver baru gitu aja dari malam sampe subuh.",1
"so far mulai membaik, semoga terus kayak gini kedepannya",4
Gofood dipaksa mengunakan yang ekspres tapi tetap telat,1
"utk Gofood tolong jgn rugikan merchant donk, masa Customer komplain krn pesanan kurang satu trus ajukan pengembalian dana lah masa dana yg dibayarkan di tarik semua bhkn lbh dari nominal pembayaran, otomatis kita rugi besar donk, jgn krn modus2 gitu justru kita yg di rugikan, jelas2 kita melayani sesuai pesanan klo pun ada kekurangan kan hrs komplain di hari dan tanggal yg sama, ini komplain udh beda hari beda tanggal lalu ajukan pengembalian kok msh di layani dan dana pembayaran ditarik semua.",1
mantap,5
👍,5
"najis bgt driver skrg pada gak mau duit apa, lelet udh pesen prioritas jg gilak.",2
"Bagus dan praktis sebenarnya karena langsung tersambung dengan gopay. Sangat membantu saya yg kaum cashless, tapi kenapa di wilayah saya setiap hujan susah dapat driver ya? even hujannya sudah berhenti sekalipun tetap susah dapat driver. Jujur aja ya ini bikin ga nyaman",3
Dah brapa puluh tau pake gojek pake gopay ga pernah masalah. Limit gede jg anda yg kasih bukan sy yg ajukan. tiba2 banget di blokir limit karna di bilang score credit rendah. ga pake bukti n notifikasi langsung main blokir aja. Kocak2.,1
ok lah,5
"buruk banget, driver ya saya udah nunggu lama dia malah makin jauh dri maps tiba tiba dia suruh saya cancel kurang ajar, pdhal saya mau kerumah sakit tolong lah ajarin driver2 kalian lebihhh ngehargain org, ga sekali dua kali dapet beginian. nyusahin bgt!!!",1
trimakasi sll dapet driver yg baik barang sampai tujuan dg aman,5
untuk pemetaan perlu diperbaiki si,4
aplikasi lengkap....,5
"mau pesan makan, meninggal dulu baru apknya di izinkan untuk login",1
pelayanan yang sangat baik,5
intinya saling menguntungkan👏,5
"jangan kasih kendor Gopay nya dinkasih promo terus ya, sangat membantu",5
membantu,5
good,5
mantap,5
"Satu aplikasi yang paling bagus banget saya suka belanja dan mencari motor,mobil bisa pergi kemana saja.",5
"berguna buat belik makanan lewat online saat malas keluar, dan juga berguna untuk transportasi ke tempat tujuan",5
pelayanan oke,5
baik,5
so far so good,5
mantap,5
tepat waktu,5
mantap,5
tidak ada notif gopay later tiba tiba denda 50k👎,1
ok,5
sudah bayar dan kasih uang tip rapi Drive balik dan minta bayaran lagi,4
oke makasih,5
paket hilang ini tidak ada penyelesaiannya paket saya hilang belum ditemukan nyari csnya susahnya minta ampun,1
"Pengguna baru gofood cuma 15k sama ongkir 8k buat apaan, sebelah aja ongkir 20k bisa pilih pengiriman hemat standar cepat",1
Lemoooooot abisss...,1
"potongan besar ke driver, jarak di pangkas untuk customer, maps tak ada perbaikan. Terus uang potongan lari kmana???? Katanya pengembangan aplikasi, kok makin merugikan driver??? Anda sehat???",1
good,4
cepat banget dan ramah,5
mantap,5
mantaapp,5
good,4
"terlalu ribet nihh, tau tau dah d blokir aj paylaternya. pdhal bunga berjalannya gede bgt!!! telat ga ampe berbulan-bulan. bunga gede, kebijakan nya ga sesuai dengan memberikan kemudahan nya BIG NO BGTTT!!!",1
Lanjutken,5
"MAU TRANSFER KOK GAGAL TERUS, DOWNLOAD BIAR KALAU TRANSFER BISA CEPET, NGGAK KELUAR RUMAH, MALAH GAGAL TERUS",1
👍🏻👍🏻,5
mantaap dan ramah,5
bagus,5
sangat baik ramah cepat,5
"Tolong mapsnya di benerin, jauh banget dari rumah",3
terbantu sekali,5
4 karna gocat,4
"Jalan tercepat pakai gojek, baik car nya , go ride dan go foodnya",5
bagus,5
mantaaf,5
paylater nya sengaja ga ngasih info biar kita telat bayar terus kena denda,1
kurir nya kurang responsif,1
"aplikasi lengkap, mudah dimengerti, mantap",5
"sebagai pelajar, gojek termasuk murah buat transportasi kemanapun, tapi aku sih gapapa nunggu lama gojeknya tapi kadang gada yang ambil gojekku, sisanya bagus dan tidak ada kendala",5
mantap,5
Bepergian menjadi lebih mudah,4
puas,5
sy gk bisa pakai gopay utk pmbyran gojek,5
mantap,5
y bgs lopyu,5
membantu banget sih iniii,5
sangat membantu,5
kacau,5
bagus,5
berapa bulan belakangan ini saya sering lama dapat driver kalo pesan Gojek di jam 6 sore ke atas..Klo pun dapat drivernya pada jauh padahal saya liat diaplikasi ada driver di sekitar lokasi saya..saya pengguna gojek udah 10 tahun..saya sering memesan Goride tokong dong diperbaiki sistem aplikasinya,1
"saya kecewa sudah beberapa kali jenis mobil yang tertera di aplikasi berbeda dengan yang datang menjemput. Hari ini saya kecewa lagi, pengalaman buruk pesan gocar dari mobil besar (di aplikasi) yang datang malah mobil kecil, sudah gitu dia minta bayaran lebih dari yang tertera di aplikasi dengan alasan saya bawa barang (box plastik kosong), padahal cuma saya sendirian manusia yang naik. Pengemudi pun ga bantu sama sekali. Bad service 😢",4
pokok e mantap menggunakan aplikasi gojek,5
"banyakin promo pls, wkwk! uda bgus bgt",5
lebih mudah menemukan alamat tujuan 😊 harganya juga oke,5
"jelek, lambat proses nya",1
sangat membantu,5
sejaihnya lancar2 saja,5
jos,5
kpn program hemat akan di hapus??,1
sangat bermanfaat,5
semoga bagus dana amanah,5
promony mantap,5
Apk Tai Ajg Gblg,1
"lumayan membantu,, tarif lebih di murahin lagi y",5
membantu sekali,5
lucu gw lihat comen2 nya... dah maunya murah hemat bnyak maunya n eh masih nunggu lm bgtu tiba pa Lom tiba cancel seenak jidat nya!!! 😜😛!chat n ditlpn lagak kyk artis!! sabar Sling mnyadari saling ngerti somplak!! trutama etika n moral dipkai!!dak smua hrus ssuai pa yg di utek lu!! kok Pngin nya serba instant ehm! 😜,5
"gblk bgt ni, lagi buru buru malah melacak driver di tengah jalan mulu, ga sekali dua kali",1
Membantu banget,5
apaan drivernya pada kaya k*ntl semua. milih2 orderan ta*,1
Josjizzz,5
semoga jadi aplikasi ya bagus dan baik..,5
aplikasi lemot parah,1
ini knapa ya... hari ini saya pesan 1 gojek datang 2 gojek dan saya hanya menekan sekali.. atas nama saya semua.. saya harus membayar kompensasi ke salah satunya.. jika tidak ada tanggapan akan saya post di Medsos,2
makasih gojek,5
"Tibatiba diblg buat pelanggaran malah diblokir akunku, aju banding beberapa kali malah ditolak wkwk beralih ke grab ajadah Kesel sumpah!!!!!!!!!!",1
good,5
gojek masih yang terbaik😁😁,5
"gojek carnya lama bgt, kalo udh dpt driver buat jemput lama bergerak di aplikasi. kayak gk jalan2 car-nya. mkanya aku sering cancel mulu, pdahal kalo kliatan jalan aja. gk akan ku cancel. trus car nya ngapa yg jauh2 si nyangkutnya. aturan nyangkutin yg dekat2 dulu aja kali sebelum dikasih yg jauh 😓 menit driver jemput makin lama aja. yg awalnya 7 mnt, jdi 14 mnt ataupun 15 mnt, astaga gak cocok buat perjalanan cepat car-nya. ini kenapa bisa gtu ya ? bukannya gojek punya banyak driver car 😭",2
baik,5
bagus cepat dan murah,5
cepat dan praktis tinggal pencet datang deeeh,5
saya salah alamat tapi gk bs di ganti. gmn kebijakan dari gojek. mohon perhatian nya saya ucapkan terimakasih banyak. suwun. waalaikumsalam,1
"penjenputan cepat, pelayanan ok",5
good apk,5
good hanya ada kekurangan saat membatalkan driver yg Tdk bergerak kenapa kami sebagai pelanggan dipotong biaya ?? seminggu sebelumnya pesan go car pengemudi di telp gak diangkat chat tdk dibalash.. posisi kendaraan Tdk gerak2 nunggu 15 menitan mana hujan lagi .,4
perihal orderan searah kenapa akun sedang di arahkan tapi orderan tidak searah masukk..tolong di perbaiki kembali seperti semula di mana driver ts hanya orderen searah aja yg masuk,5
mantap,5
suka kalo banyak diskonnya,5
gojek banyak dosa ceo nya dipenjara,1
Goooooood banget,5
aman,5
aplikasi aneh aku dah cancel kok tiba tiba muncul driver,1
Alhamdulillah trbantu bgt dengan layanan gojek..🫰,5
sangat membantu,5
bagus,5
mudah dan simple,5
GOJEK MURAHIN TARIFNYA WOY,1
Baik,5
good,5
lumayan dapet coin,5
"drivernya ramah, wakru penjemputan tepat waktu, pelayanan baik",5
sangat membantu,5
sip. oke.,5
apk nya sangat membantu,5
senang kalo dapat driver nya hamble,5
"apa-apaan ini go-pay . biar untuk upgrade ke go-pay plus itu sangat susah, udah berfoto ulang kali tapi nggak berhasil berhasil juga. tolonglah diperbaiki lagi atau bagaimana. nggak capek nih ambil fotonya terus",1
sejauh ini ok dan sangat memuaskan dengan aplikasi gojek.semoga sehat terus pejuang gojek untuk keluarga nya.aamiin,5
ok,5
"anjirrr ... sekalinya pake gopay latter 23rb , telat sehari krna lupa , denda ny 50rb .. Mo haji yak ??? tau gak sih kalo lu itu mahall ...",1
aplikasi lemot buat mesen mau cek ja muter2 melulu padahal jaringan ok gk ada kendala tolong d perbaiki,1
lanjutkan,5
pesanan makanan tidak bisa dibatalkan dengan cepat apabila tidak ada driver padahal mau pesan makanya lain tapi takut dobel gara-gara stts masih gantung nunggu driver mana sejam lagi baru bisa dibatalin,1
makin bagussss....,5
"untuk gocar tolong banget diperbaiki saya sampe 6x/7x pesan driver menolak alasan posisi jauh padahal sangat dekat cuma 5 menit saja ke posisi saya ,tidak mau hanya karena saya digang ,padahal jalan cukup untuk mobil ,posisi saya mau bawa ibu saya berobat.sampai saya ganti ke grab baru saya bisa bawa ibu saya.bner"" BKIN saya sesak rasanya order gocar! satu jam saya pesan kalian tidak ada yang mau padahal saya hapus voucher supaya argo tetap normal!",3
aplikasi yg sangat amat membantuuuu...,5
Baru mau nyoba,5
ngebantu banget sumpa,5
bgus,5
sangat membantu,4
dengan adanya aplikasi ini semuanya jadi mudah,5
untuk kenyamanaan dan keamanan pilih aplikasi gojek...tidak mengecewakan... kalau ngak percaya coba aja...gojek merupakan layanan publik yg sangat saya sukaiii...banyak kemudahan yg di berikan...,5
Alhamdulillah terbantu,1
Kita Tahula Manfaatnya gimana,5
bagus,5
jos jiss,5
"Tolong dong info saldo di aplikasi gojek biar bisa hide/unhide jangan melotot mulu, kadang gak enak kalo ada yg liat Makasih sebelumnya",1
setiap hari senin sampai kamis saya ga boleh dapat trip goride dari sistem? HARUS GOSEND YA? KALAU GA AKTIFIN LAYANAN GOSEND GA BAKAL DAPAT TRIP SAMA SEKALI? GA NGASIH GAJI KO NGATUR SAYA HARUS BAWA TRIP APA? KALAU GA PATUH SAMA SISTEM AKUNNYA DIBIKIN ANYEP YA? ATAU HARUS IKUT PROGRAM LANGGANAN GACOR?? EMANG BIADAB BANGET SISTEM GOJEK!!,1
Tidak bisa memesan apapun di tolak,5
ok,5
bagus tp knp sdh tdk ada voucher goride gosend lagi seperti dulu,3
pesanan cepat diantar dan sesuai pesanan,5
"Ramah, Cepat, Percaya",5
oke,5
kasian driver nya dpt komisi sedikit,1
belagu banget drivernya nganter Tangerang jakarta aja pada di cancel di diemin gak jelas banget gak niat cari duit,1
kemana pun bisa mudah dengan gojek,5
mantap semoga lebih baik lagi,5
ramah,5
membantu,4
"hapus program langganan goride hemat,kasihan driver sudah kena potongan 20% lebih masih di potong lagi program hemat berlangganan",1
nah agak lumayan nih sekarang. Bintang saya naikin,5
"Saya udah coba berulang kali buat install aplikasi ini lagi, penyimpanan aman dan koneksi internet juga aman. Tapi kenapa tetap gagal ya? padahal saya udah langganan dari 6 tahun yang lalu. mohon arahannya",2
"aplikasi lemot, gojeknya ga jelas semua, penjemputan lama",1
gacoor,5
baru download gakbisa daftar istirahat selama 60 menit lah keburu laperr mau pesen juga,1
Abang gojek ramah dan sopan,5
sangat membantu,5
terpercayaaa sekaliii,5
"gojek semakin buruk ,banyak driver yang tidak merespon .bahkan orderan di abaikan dan tidak membalas chat .disiplinkan driver yang tidak merespon atau yang tidak bergerak .sudah tidak bergerak tidak bisa di hubungi.",3
lama cari driver,2
nic,5
"aplikasi aneh, verifikasi wajah gak bisa, pdhl gua gak operasi muka nya",1
sangat membantu,5
aplikasinya bagus,5
aman,5
"sy baru naik gojek mobil dari lrt cibubur mau ke kotawista , jalur di aplikasi driver kenapa gak bisa dipilih lewat non toll ya .maksud saya mau hemat gak keluarin biaya toll lagi karena . jalanan arteri transyogi masih lancar ..makasih ..poster marpaung",5
"aplikasi maling, bukti transaksi top up udah berhasil dibilang ga masuk",1
"driver nya gajelas semua, kata kasar ada, suruh ngecancel juga ada. dilaporin gaada balesan",1
"semua yg pernah aku tumpang, sopirnya ramah",5
driver baik pelayanan baik,5
aman nyampe rumah,5
"kocak bikin ga enak aja, udah selesai sampe tujuan tiba tiba bikin book baru?? asli kasian driver nya",4
bagus,5
murah tapi tadi udh di cancel masi aja daet driver bukan soal uang nya tapi soal sistem pelayanannya masa udh di cancel masi disuruh bayar aneh perbaiki tuh sistem nya,3
Pelayanan tidak membantu.,1
menolong banget,5
menyenangkan,5
Aplikasi terbaru dg biaya aplikasi 3rb rupiah pertransaksi (go food) ini terlalu besar. Kaya dong aplikatornya.,4
"Aplikasi ini kenapa sering lemot sendiri ya, padahal sinyal bagus, hape juga masih baru. Aneh.",2
tolong rispek lah untuk kariawan nya saya udah nungu sampe ber menit menit tetel ga mao nyanperin mala manjauh,1
👌,5
"mudah, cepat & memuaskan",5
mantap,5
tidak membantu saya membeli makanan tapi kurang dalam menu tersebut ketika saya komplain sudah melihat peraturan tersebut jika makanan tersebut kurang tetapi yang dikatakan oleh pihak tersebut data tersebut tidak sesuai mau diperlu aturan apa saya sudah foto lengkap beserta makanan nya dibuka makanan tersebut sudah lengkap kecuali makanan yg kurang tersebut saya kasih bintang satu pelayanan nya jelek udah jelas ada yg kurang saran diliat sebelum dinyatakan tidak sesuai,1
sangat membantu,5
top markotop mah,5
good,5
cepat pengantarannya,5
"Biaya jasa aplikasi terlalu mahal sekarang, biasanya nyaman pakai gojek. Tapi biaya aplikasi kemahalan. terus gopaylater tidak ada notifikasi pembayaran, telat 1 hari baru di beritahu dendanya 50 ribu😂",1
ok,5
Sepp maknyosee,5
mantap,5
ok,5
"Saya Biasa menggunakan Paylater dan Paypinjam, ternyata saya baru tahu bunganya cukup besar dibandingkan pinjaman di toko oren, ok sip selanjutnya tidak akan pakai fitur tsb dan tokped, tokped hanya untuk liat2 barang aja..hehehehe",3
pesen goride comfort terus tapi yang dateng selalu motor vario 125 terus .. gmn sih gojek,1
"lawak bgt, sengaja nggak ngasih notifikasi tagihan trus ngasih denda 50rb hahaha",1
nyaman pakai gojek,5
suka bangett,5
cpt & murah,5
sangat membantu. terima kasih,5
isi saldo lewat ewallet lain kena potongan yg tidak di jelaskan pada rincian riwayat transaksi 🙁sangat menyedihkan!,2
"udah bagus banget sih, jujur aku anak SMA yang belum dibolehin naik motor sendiri jadi kebantu bangett makasih gojek",5
"aplikasi menjebak menyediakan laylateer tapi untuk menguras. pake 8 rb lupa sehari denda 50 rb ga masuk akal. lintas darat. kendaraan juga asal beda nomor plat dan lain""",1
oke,5
"aplikasinya bagus, namun driver tidak responsif, kebanyakan di cancel, mengecewakan.",2
ramah,5
"haduhh, ini apk ga niat apa gmna, orang lagi buru-buru malah lama banget nyari driver, trus juga drivernya kebanyakan kok lama kali mau jemput, keburu telat, sampe 20 menit aku nunggu gak dateng dateng",1
"gojek bego tolol, denda terlambat 50 ribu, gila lu setan",1
mntap,5
nyaman,5
sangat bagus dan membantu,5
sangat bagus,5
sangat membantu,5
driver ramah,5
menyenangkan dalam perjalanan..,5
aplikasi ngeselin bayar gk pernah telat belom waktu jatuh tempo dah di bayar full eh malah di blokir gk jelas gopay gopay,4
cepat dan aman,5
banyak promo..Gojek Indonesia sukses selalu,5
"Untuk pencarian driver atau kurir makanan nya masih terlalu lama, apalagi kalau lagi urgent Selebihnya udh ok",4
kecewa banget aku pake gopay leter saya pake 25rb terlambat 1 hari dendanya 50rb kocak bgt g ngotak si menurut aku pdahal bukan g mau bayar tapi memang lupa bgt😭di TLP pas udah lewat jatuh tempo sehari.,1
"driver baik dan ramah , terima kasih pak",5
"driver nya pada belagu, pilih yg prioritas aja gak ada yg ngambil, uninstall dah aplikasi nya",1
"sekarang harga go-food mahal sekali, kalah jauh dengan di shopee food",1
sangat memuaskan pelayananya. sukses terus gojek,5
bagus,5
oke sudah dibuka blokirannya,5
mudah,5
nyaman,5
penjemputan driver terlalu jauh,3
"ok, sangat membantu",5
"ini saya rating lagi bintang 1 ya karena sangat susah melaporkan driver goshop yang tidak mengambil pesanan, tidak membalas chat. dan ia sengaja memutar tidak jauh di area sana menunggu saua untuk cansel. untuk malaporkan harus menyelesaikan pesanan, sedangkan ia tak mau mengambil pesanan",1
sangat membantu untuk saya yg gak punya kendaraan,5
TOP gojek,5
oke baik,5
good,5
Mantap,5
bagus banyak membantu,5
susah bener cari driver,1
perjalanan nyaman mantap,5
top,5
apk aneh. suka ngebug klo di pake jadi nyusahin orang,1
transaksi perjalanan jadi mudah tanpa ribet menunggu lama,5
terimakasih,5
puas,5
diwilayah saya susah cari drivernya,3
baik dlm pelayanan,5
mantab,5
fotongan banyak merugikan dirver gak jadi ftongan ke driver 8% mlh ke cz aja 8%,1
oke,5
lama bgt cari go food,2
ntap,5
saya pesan gomart di jam 11 bisa tapi waktu gojeknya datang tokonya malah tutup gmn ini sistem gojek seharunya ketika toko sudah tutup gomart harusnya di tutup juga servernya kalau begini Mulu ya namanya PHP dan bisa jadi orang yang sudah TF hangus karena toko ny tutup,1
BAGUS KEREN,5
jos jos jos,5
gila ga nanggung2 gopay latter kalo telat kena denda 50rb anj lahhh mau naik hjj lu yaaaa,1
penasaran kalau ga nonton sampai habis ini film nya,5
best,5
aplikasi yg paling gede jasanya...,1
layanan jelek dan ada masalah cs nya gak bisa bantu malah repot,1
oky,5
aplikasi bagus,5
Bagus,1
DI DAERAH KOTA SUKABUMI KALAU MAU GOFOOD MALEM2 SUKA SUSAH CARI DRIVER NYA KADANG UDAH DAPET DRIVER NYA MALAH DI CANCEL ❌,1
bagus banget aplikasinya sangat membantu,5
lumayan,5
kalo memesan makanan disini harga nya lebih mahal di bandingkan shopee food,1
pesanan tidak lengkap tidak ada tindak lanjut dg alasan photo tidak lengkap,1
membantu sekali,5
sangat membantu,5
diskon nyaa banyakk bgtt makasih yaaa,5
"semakin tua, malah semakin mundur gojek ini. bisa2nya layanan gofood, nyari drivernya sampe 1jam?! BUSET 1JAM?! Org pengen makan makanan anget, nyampe ke customer udh ambyar! KECEWA!",1
"perbaiki lagi pengantaran barang ke driver, driver nya tidak amanah.",1
mantap,5
sangat baik,5
bagus cepat driver ramah,5
riwayat onetap susah sekali dihapus,1
"kurangi bintang, dari dulu kesel bgt pesen gofood alamat nya selalu ganti otomatis.",3
duit sy kesedot kalo pas top up,1
buat mode malam yah kak,5
bagus,5
keren,5
lebih murah maxim huuuu,1
bagus,4
"Keren, sangat membantu..👍",5
"lama dapet driver,aku pesan makanan harus nunggu 40menitan untuk dapat driver",1
HADEH GUE DAPET DISKON GEDE BUAT BELI GACOAN MALAH KURIR GAK DAPET UDH NUNGGU 1JAM BIAR BISA DI BATALIN MALAH KAGAK DAPET,1
Joss gandos,5
ok,5
mantap,5
device saya hilang di curi orang dberserta lupa gmail kenapa saya GK bisa login sama sekali dengan otp pdhl saya belum premium kenapa maksa login pakai gmail,1
ini pada mau kerja ga si,1
