text,rating,length,clean_text,word_count
"aneh banget beli token listrik 20k ajh di sangka transaksi yang mencurigakan terus langsung di blokir paylater nya lucu banget sumpah,katanya tunggu selama 7hari sekarang sudah 1bulan lebih tidak bisa di gunakan lucu banget kan,gopay makin aneh,lagi dan lagi gopay dengan keanehan nya",1,284,aneh banget beli token listrik k ajh di sangka transaksi yang mencurigakan terus langsung di blokir paylater nya lucu banget sumpahkatanya tunggu selama hari sekarang sudah bulan lebih tidak bisa di gunakan lucu banget kangopay makin anehlagi dan lagi gopay dengan keanehan nya,43
sangat membantu dan byk voucer,5,30,sangat membantu dan byk voucer,5
semoga banyak promo promo spesial,5,33,semoga banyak promo promo spesial,5
"mantap aplikasi nya bagus tapi tolong ya kalo ada jalur yang lebih singkat pilih lewat situ aja karna setiap saya memesan untuk pulang ke rumah selalu melewati jalur yang jauh padahal sudah ada jalur yang lebih singkat masa setiap saya mesen selalu harus bilang ""lewat sini aja mas""",4,282,mantap aplikasi nya bagus tapi tolong ya kalo ada jalur yang lebih singkat pilih lewat situ aja karna setiap saya memesan untuk pulang ke rumah selalu melewati jalur yang jauh padahal sudah ada jalur yang lebih singkat masa setiap saya mesen selalu harus bilang lewat sini aja mas,48
sudah lebih cepat,5,17,sudah lebih cepat,3
nyaman dan cepat dateng drivernya,5,33,nyaman dan cepat dateng drivernya,5
ramah dan baik,5,14,ramah dan baik,3
gak bisa order apa2,1,19,gak bisa order apa,4
pengajuan ulang gopay pinjem di tolak setelah di lunasi .. gak jelas banget .. padahal yg pertama bisa acc .. giliran di lunasin lgsg di blokir .. tau gitu gk usah di bayar aja !,1,178,pengajuan ulang gopay pinjem di tolak setelah di lunasi gak jelas banget padahal yg pertama bisa acc giliran di lunasin lgsg di blokir tau gitu gk usah di bayar aja,30
tolong dong perubahan area yg jelas... dong orderan susah banget... kasian driver kerja malah ga dapat2 orerann... kasian ada keluarga yg menunggu dirumah...,5,157,tolong dong perubahan area yg jelas dong orderan susah banget kasian driver kerja malah ga dapat orerann kasian ada keluarga yg menunggu dirumah,23
lebih memudahkan segalanya,5,26,lebih memudahkan segalanya,3
"sudah 4 hari ini semua pelanggan kalau order susah dapat driver, tolong sangat diperhatikan jgn sampai beralih ke ojek lain. jgn terlalu banyak diutak-atik kalau malah menyebabkan pelanggan kabur",5,195,sudah hari ini semua pelanggan kalau order susah dapat driver tolong sangat diperhatikan jgn sampai beralih ke ojek lain jgn terlalu banyak diutakatik kalau malah menyebabkan pelanggan kabur,28
"padahal tidak melakukan tindak kriminal, tetap saja di pm. dasar gojek perusahaan yahudi, gak punya kebijaksanaan. untung ada maxim & indriver... 💰👍",1,148,padahal tidak melakukan tindak kriminal tetap saja di pm dasar gojek perusahaan yahudi gak punya kebijaksanaan untung ada maxim indriver,20
"mau bikin akun malah nomor telponnya udah dipake orang sebelumnya, mau masuk gk bisa, mau hapus gk bisa, udah kirim email malah disuruh lewat aplikasi, niat mau chat kendala malah isinya bot semua, udah ikut instruksi tetap gak bisa dan cuma muter-muter doang instruksinya, lama-lama bangkrut kalo kek gini kalian.⚠️⚠️⚠️",1,320,mau bikin akun malah nomor telponnya udah dipake orang sebelumnya mau masuk gk bisa mau hapus gk bisa udah kirim email malah disuruh lewat aplikasi niat mau chat kendala malah isinya bot semua udah ikut instruksi tetap gak bisa dan cuma mutermuter doang instruksinya lamalama bangkrut kalo kek gini kalian,50
g ngotak utang 30rb telat sehari doang denda 50rb. d platform yang lain g segitunya. noh gua lunasin abis itu gua hapus akunnya 🤬🤬🤬,1,131,g ngotak utang rb telat sehari doang denda rb d platform yang lain g segitunya noh gua lunasin abis itu gua hapus akunnya,23
memudahkan dalam segala hal beli makan antar orderan antar ke tujuan,5,68,memudahkan dalam segala hal beli makan antar orderan antar ke tujuan,11
gojek sangat membantu saya untuk aktivitas harian dr antar jemput anak dan aktivitas lain nya.. tp entah knp akhir2 ini oder gojek jd agak susah di dapat.. saat di pagi hari.. sekali dapat itu pun dengen jarak gojek nya sangat jauh sekali..,5,240,gojek sangat membantu saya untuk aktivitas harian dr antar jemput anak dan aktivitas lain nya tp entah knp akhir ini oder gojek jd agak susah di dapat saat di pagi hari sekali dapat itu pun dengen jarak gojek nya sangat jauh sekali,42
"makin kesini kok makin kayak begini aplikasi nya jek , bnerin lah sistem nya , orang pesen 1 malah datang 2 kan jadi gk enak jek , kalau kayak gini kepercayaan penumpang makin ilang jek , gimna mau ada perkembangan jek",2,218,makin kesini kok makin kayak begini aplikasi nya jek bnerin lah sistem nya orang pesen malah datang kan jadi gk enak jek kalau kayak gini kepercayaan penumpang makin ilang jek gimna mau ada perkembangan jek,35
penyelamat di setiap kemanapun pergi terimakasih gojek.. apk ter the best 👍,5,75,penyelamat di setiap kemanapun pergi terimakasih gojek apk ter the best,11
selalu telat saat ngantarin pesanan,1,35,selalu telat saat ngantarin pesanan,5
"membantu dan baiknya sudah jangkau papua, tinggal nabire yang ditunggu krn byk kuliner enak tp blm ada gojek utk gofood",5,119,membantu dan baiknya sudah jangkau papua tinggal nabire yang ditunggu krn byk kuliner enak tp blm ada gojek utk gofood,20
"pengguna baru, jika nyaman dan profesional saya naikan bintang 5 ***** bila pesanan saya: *tepat, teruji sasaran, tidak ribet, fokusnya pelanggan*",4,146,pengguna baru jika nyaman dan profesional saya naikan bintang bila pesanan saya tepat teruji sasaran tidak ribet fokusnya pelanggan,19
kalo ikut panduan alhamdulillah teratasi masalah sama kendala yg ada makasi ya min 🙏🙏🙏,5,86,kalo ikut panduan alhamdulillah teratasi masalah sama kendala yg ada makasi ya min,13
"saya pernah dilecehkan oleh driver gojek, tetapi gojek tidak mau menanggapi hanya karena kurangnya bukti. semenjak kejadian itu saya trauma naik ojol.",1,150,saya pernah dilecehkan oleh driver gojek tetapi gojek tidak mau menanggapi hanya karena kurangnya bukti semenjak kejadian itu saya trauma naik ojol,22
"kenapa saat mau login gojek selalu ga bisa ya selalu terhenti di verifikasi wajah sama kayak aku mau login ke gopay katanya pencahayaannya kurang padahal pencahayaan sudah bagus, aku sudah lepas kacamata, foto tidak buram. tolong dong dibantu sampai saat ini aku ga bisa masuk ke akun gojek dan gopay aku",4,304,kenapa saat mau login gojek selalu ga bisa ya selalu terhenti di verifikasi wajah sama kayak aku mau login ke gopay katanya pencahayaannya kurang padahal pencahayaan sudah bagus aku sudah lepas kacamata foto tidak buram tolong dong dibantu sampai saat ini aku ga bisa masuk ke akun gojek dan gopay aku,51
"untuk gocar daerah majalengka, kadipaten banyak supir yang minta uang lebih, 5km minta nya 100rb, di aplikasi padahal 65rb, tertibkan min 🗿 gak bener",1,149,untuk gocar daerah majalengka kadipaten banyak supir yang minta uang lebih km minta nya rb di aplikasi padahal rb tertibkan min gak bener,23
untuk layanan gosend terutama gosend multifungsi.. itu potongan nya terlalu ngeri hampir 75% lebih.. kasian para driver lain.. itu saja info dari saya🙏,5,151,untuk layanan gosend terutama gosend multifungsi itu potongan nya terlalu ngeri hampir lebih kasian para driver lain itu saja info dari saya,22
banyak²in promo yaa hehehe 🙏😍,5,29,banyakin promo yaa hehehe,4
sejauh ini baik.trims.,5,22,sejauh ini baiktrims,3
"kenapa akhir-akhir ini gojek suka susah nemuin titik lokasi,padahal sebelum2nya gampang.ditambah drivernya susah di chat..tolong diperbaiki",2,139,kenapa akhirakhir ini gojek suka susah nemuin titik lokasipadahal sebelumnya gampangditambah drivernya susah di chattolong diperbaiki,16
"pelayanan sudah bagus & nyaman, tapi terkadang ada oknum yang narik sambil merokok!",5,83,pelayanan sudah bagus nyaman tapi terkadang ada oknum yang narik sambil merokok,12
"drivernya tau jalan, padahal saya belum pernah ke alamat tempat tujuan itu 👍👍👍",5,78,drivernya tau jalan padahal saya belum pernah ke alamat tempat tujuan itu,12
driver min atitude maen nylonong masuk aja tolol,1,48,driver min atitude maen nylonong masuk aja tolol,8
kadang pesan gofood gak ada kembalian. biasakan driver mitra kalian siapin uang kecil buat kembalian! maaf saya kasih rating 1. 😞,1,129,kadang pesan gofood gak ada kembalian biasakan driver mitra kalian siapin uang kecil buat kembalian maaf saya kasih rating,19
"go food nya jelek, nggak bisa cancel padahal restoran nya tutup. kalo driver yang cancel akan mencari driver baru gitu aja dari malam sampe subuh.",1,146,go food nya jelek nggak bisa cancel padahal restoran nya tutup kalo driver yang cancel akan mencari driver baru gitu aja dari malam sampe subuh,25
"so far mulai membaik, semoga terus kayak gini kedepannya",4,56,so far mulai membaik semoga terus kayak gini kedepannya,9
gofood dipaksa mengunakan yang ekspres tapi tetap telat,1,55,gofood dipaksa mengunakan yang ekspres tapi tetap telat,8
"utk gofood tolong jgn rugikan merchant donk, masa customer komplain krn pesanan kurang satu trus ajukan pengembalian dana lah masa dana yg dibayarkan di tarik semua bhkn lbh dari nominal pembayaran, otomatis kita rugi besar donk, jgn krn modus2 gitu justru kita yg di rugikan, jelas2 kita melayani sesuai pesanan klo pun ada kekurangan kan hrs komplain di hari dan tanggal yg sama, ini komplain udh beda hari beda tanggal lalu ajukan pengembalian kok msh di layani dan dana pembayaran ditarik semua.",1,499,utk gofood tolong jgn rugikan merchant donk masa customer komplain krn pesanan kurang satu trus ajukan pengembalian dana lah masa dana yg dibayarkan di tarik semua bhkn lbh dari nominal pembayaran otomatis kita rugi besar donk jgn krn modus gitu justru kita yg di rugikan jelas kita melayani sesuai pesanan klo pun ada kekurangan kan hrs komplain di hari dan tanggal yg sama ini komplain udh beda hari beda tanggal lalu ajukan pengembalian kok msh di layani dan dana pembayaran ditarik semua,82
"najis bgt driver skrg pada gak mau duit apa, lelet udh pesen prioritas jg gilak.",2,80,najis bgt driver skrg pada gak mau duit apa lelet udh pesen prioritas jg gilak,15
"bagus dan praktis sebenarnya karena langsung tersambung dengan gopay. sangat membantu saya yg kaum cashless, tapi kenapa di wilayah saya setiap hujan susah dapat driver ya? even hujannya sudah berhenti sekalipun tetap susah dapat driver. jujur aja ya ini bikin ga nyaman",3,270,bagus dan praktis sebenarnya karena langsung tersambung dengan gopay sangat membantu saya yg kaum cashless tapi kenapa di wilayah saya setiap hujan susah dapat driver ya even hujannya sudah berhenti sekalipun tetap susah dapat driver jujur aja ya ini bikin ga nyaman,42
dah brapa puluh tau pake gojek pake gopay ga pernah masalah. limit gede jg anda yg kasih bukan sy yg ajukan. tiba2 banget di blokir limit karna di bilang score credit rendah. ga pake bukti n notifikasi langsung main blokir aja. kocak2.,1,235,dah brapa puluh tau pake gojek pake gopay ga pernah masalah limit gede jg anda yg kasih bukan sy yg ajukan tiba banget di blokir limit karna di bilang score credit rendah ga pake bukti n notifikasi langsung main blokir aja kocak,42
"buruk banget, driver ya saya udah nunggu lama dia malah makin jauh dri maps tiba tiba dia suruh saya cancel kurang ajar, pdhal saya mau kerumah sakit tolong lah ajarin driver2 kalian lebihhh ngehargain org, ga sekali dua kali dapet beginian. nyusahin bgt!!!",1,257,buruk banget driver ya saya udah nunggu lama dia malah makin jauh dri maps tiba tiba dia suruh saya cancel kurang ajar pdhal saya mau kerumah sakit tolong lah ajarin driver kalian lebihhh ngehargain org ga sekali dua kali dapet beginian nyusahin bgt,43
trimakasi sll dapet driver yg baik barang sampai tujuan dg aman,5,63,trimakasi sll dapet driver yg baik barang sampai tujuan dg aman,11
untuk pemetaan perlu diperbaiki si,4,34,untuk pemetaan perlu diperbaiki si,5
"mau pesan makan, meninggal dulu baru apknya di izinkan untuk login",1,66,mau pesan makan meninggal dulu baru apknya di izinkan untuk login,11
pelayanan yang sangat baik,5,26,pelayanan yang sangat baik,4
intinya saling menguntungkan👏,5,29,intinya saling menguntungkan,3
"jangan kasih kendor gopay nya dinkasih promo terus ya, sangat membantu",5,70,jangan kasih kendor gopay nya dinkasih promo terus ya sangat membantu,11
"satu aplikasi yang paling bagus banget saya suka belanja dan mencari motor,mobil bisa pergi kemana saja.",5,104,satu aplikasi yang paling bagus banget saya suka belanja dan mencari motormobil bisa pergi kemana saja,16
"berguna buat belik makanan lewat online saat malas keluar, dan juga berguna untuk transportasi ke tempat tujuan",5,111,berguna buat belik makanan lewat online saat malas keluar dan juga berguna untuk transportasi ke tempat tujuan,17
so far so good,5,14,so far so good,4
tidak ada notif gopay later tiba tiba denda 50k👎,1,48,tidak ada notif gopay later tiba tiba denda k,9
sudah bayar dan kasih uang tip rapi drive balik dan minta bayaran lagi,4,70,sudah bayar dan kasih uang tip rapi drive balik dan minta bayaran lagi,13
paket hilang ini tidak ada penyelesaiannya paket saya hilang belum ditemukan nyari csnya susahnya minta ampun,1,109,paket hilang ini tidak ada penyelesaiannya paket saya hilang belum ditemukan nyari csnya susahnya minta ampun,16
"pengguna baru gofood cuma 15k sama ongkir 8k buat apaan, sebelah aja ongkir 20k bisa pilih pengiriman hemat standar cepat",1,121,pengguna baru gofood cuma k sama ongkir k buat apaan sebelah aja ongkir k bisa pilih pengiriman hemat standar cepat,20
"potongan besar ke driver, jarak di pangkas untuk customer, maps tak ada perbaikan. terus uang potongan lari kmana???? katanya pengembangan aplikasi, kok makin merugikan driver??? anda sehat???",1,192,potongan besar ke driver jarak di pangkas untuk customer maps tak ada perbaikan terus uang potongan lari kmana katanya pengembangan aplikasi kok makin merugikan driver anda sehat,27
cepat banget dan ramah,5,22,cepat banget dan ramah,4
"terlalu ribet nihh, tau tau dah d blokir aj paylaternya. pdhal bunga berjalannya gede bgt!!! telat ga ampe berbulan-bulan. bunga gede, kebijakan nya ga sesuai dengan memberikan kemudahan nya big no bgttt!!!",1,206,terlalu ribet nihh tau tau dah d blokir aj paylaternya pdhal bunga berjalannya gede bgt telat ga ampe berbulanbulan bunga gede kebijakan nya ga sesuai dengan memberikan kemudahan nya big no bgttt,32
"mau transfer kok gagal terus, download biar kalau transfer bisa cepet, nggak keluar rumah, malah gagal terus",1,108,mau transfer kok gagal terus download biar kalau transfer bisa cepet nggak keluar rumah malah gagal terus,17
mantaap dan ramah,5,17,mantaap dan ramah,3
sangat baik ramah cepat,5,23,sangat baik ramah cepat,4
"tolong mapsnya di benerin, jauh banget dari rumah",3,49,tolong mapsnya di benerin jauh banget dari rumah,8
"jalan tercepat pakai gojek, baik car nya , go ride dan go foodnya",5,65,jalan tercepat pakai gojek baik car nya go ride dan go foodnya,12
paylater nya sengaja ga ngasih info biar kita telat bayar terus kena denda,1,74,paylater nya sengaja ga ngasih info biar kita telat bayar terus kena denda,13
kurir nya kurang responsif,1,26,kurir nya kurang responsif,4
"aplikasi lengkap, mudah dimengerti, mantap",5,42,aplikasi lengkap mudah dimengerti mantap,5
"sebagai pelajar, gojek termasuk murah buat transportasi kemanapun, tapi aku sih gapapa nunggu lama gojeknya tapi kadang gada yang ambil gojekku, sisanya bagus dan tidak ada kendala",5,180,sebagai pelajar gojek termasuk murah buat transportasi kemanapun tapi aku sih gapapa nunggu lama gojeknya tapi kadang gada yang ambil gojekku sisanya bagus dan tidak ada kendala,27
bepergian menjadi lebih mudah,4,29,bepergian menjadi lebih mudah,4
sy gk bisa pakai gopay utk pmbyran gojek,5,40,sy gk bisa pakai gopay utk pmbyran gojek,8
y bgs lopyu,5,11,y bgs lopyu,3
membantu banget sih iniii,5,25,membantu banget sih iniii,4
berapa bulan belakangan ini saya sering lama dapat driver kalo pesan gojek di jam 6 sore ke atas..klo pun dapat drivernya pada jauh padahal saya liat diaplikasi ada driver di sekitar lokasi saya..saya pengguna gojek udah 10 tahun..saya sering memesan goride tokong dong diperbaiki sistem aplikasinya,1,299,berapa bulan belakangan ini saya sering lama dapat driver kalo pesan gojek di jam sore ke atasklo pun dapat drivernya pada jauh padahal saya liat diaplikasi ada driver di sekitar lokasi sayasaya pengguna gojek udah tahunsaya sering memesan goride tokong dong diperbaiki sistem aplikasinya,44
"saya kecewa sudah beberapa kali jenis mobil yang tertera di aplikasi berbeda dengan yang datang menjemput. hari ini saya kecewa lagi, pengalaman buruk pesan gocar dari mobil besar (di aplikasi) yang datang malah mobil kecil, sudah gitu dia minta bayaran lebih dari yang tertera di aplikasi dengan alasan saya bawa barang (box plastik kosong), padahal cuma saya sendirian manusia yang naik. pengemudi pun ga bantu sama sekali. bad service 😢",4,439,saya kecewa sudah beberapa kali jenis mobil yang tertera di aplikasi berbeda dengan yang datang menjemput hari ini saya kecewa lagi pengalaman buruk pesan gocar dari mobil besar di aplikasi yang datang malah mobil kecil sudah gitu dia minta bayaran lebih dari yang tertera di aplikasi dengan alasan saya bawa barang box plastik kosong padahal cuma saya sendirian manusia yang naik pengemudi pun ga bantu sama sekali bad service,69
pokok e mantap menggunakan aplikasi gojek,5,41,pokok e mantap menggunakan aplikasi gojek,6
"banyakin promo pls, wkwk! uda bgus bgt",5,38,banyakin promo pls wkwk uda bgus bgt,7
lebih mudah menemukan alamat tujuan 😊 harganya juga oke,5,55,lebih mudah menemukan alamat tujuan harganya juga oke,8
"jelek, lambat proses nya",1,24,jelek lambat proses nya,4
sejaihnya lancar2 saja,5,22,sejaihnya lancar saja,3
kpn program hemat akan di hapus??,1,33,kpn program hemat akan di hapus,6
semoga bagus dana amanah,5,24,semoga bagus dana amanah,4
apk tai ajg gblg,1,16,apk tai ajg gblg,4
"lumayan membantu,, tarif lebih di murahin lagi y",5,48,lumayan membantu tarif lebih di murahin lagi y,8
lucu gw lihat comen2 nya... dah maunya murah hemat bnyak maunya n eh masih nunggu lm bgtu tiba pa lom tiba cancel seenak jidat nya!!! 😜😛!chat n ditlpn lagak kyk artis!! sabar sling mnyadari saling ngerti somplak!! trutama etika n moral dipkai!!dak smua hrus ssuai pa yg di utek lu!! kok pngin nya serba instant ehm! 😜,5,317,lucu gw lihat comen nya dah maunya murah hemat bnyak maunya n eh masih nunggu lm bgtu tiba pa lom tiba cancel seenak jidat nya chat n ditlpn lagak kyk artis sabar sling mnyadari saling ngerti somplak trutama etika n moral dipkaidak smua hrus ssuai pa yg di utek lu kok pngin nya serba instant ehm,56
"gblk bgt ni, lagi buru buru malah melacak driver di tengah jalan mulu, ga sekali dua kali",1,89,gblk bgt ni lagi buru buru malah melacak driver di tengah jalan mulu ga sekali dua kali,17
apaan drivernya pada kaya k*ntl semua. milih2 orderan ta*,1,57,apaan drivernya pada kaya kntl semua milih orderan ta,9
semoga jadi aplikasi ya bagus dan baik..,5,40,semoga jadi aplikasi ya bagus dan baik,7
aplikasi lemot parah,1,20,aplikasi lemot parah,3
ini knapa ya... hari ini saya pesan 1 gojek datang 2 gojek dan saya hanya menekan sekali.. atas nama saya semua.. saya harus membayar kompensasi ke salah satunya.. jika tidak ada tanggapan akan saya post di medsos,2,213,ini knapa ya hari ini saya pesan gojek datang gojek dan saya hanya menekan sekali atas nama saya semua saya harus membayar kompensasi ke salah satunya jika tidak ada tanggapan akan saya post di medsos,35
"tibatiba diblg buat pelanggaran malah diblokir akunku, aju banding beberapa kali malah ditolak wkwk beralih ke grab ajadah kesel sumpah!!!!!!!!!!",1,145,tibatiba diblg buat pelanggaran malah diblokir akunku aju banding beberapa kali malah ditolak wkwk beralih ke grab ajadah kesel sumpah,20
gojek masih yang terbaik😁😁,5,26,gojek masih yang terbaik,4
"gojek carnya lama bgt, kalo udh dpt driver buat jemput lama bergerak di aplikasi. kayak gk jalan2 car-nya. mkanya aku sering cancel mulu, pdahal kalo kliatan jalan aja. gk akan ku cancel. trus car nya ngapa yg jauh2 si nyangkutnya. aturan nyangkutin yg dekat2 dulu aja kali sebelum dikasih yg jauh 😓 menit driver jemput makin lama aja. yg awalnya 7 mnt, jdi 14 mnt ataupun 15 mnt, astaga gak cocok buat perjalanan cepat car-nya. ini kenapa bisa gtu ya ? bukannya gojek punya banyak driver car 😭",2,494,gojek carnya lama bgt kalo udh dpt driver buat jemput lama bergerak di aplikasi kayak gk jalan carnya mkanya aku sering cancel mulu pdahal kalo kliatan jalan aja gk akan ku cancel trus car nya ngapa yg jauh si nyangkutnya aturan nyangkutin yg dekat dulu aja kali sebelum dikasih yg jauh menit driver jemput makin lama aja yg awalnya mnt jdi mnt ataupun mnt astaga gak cocok buat perjalanan cepat carnya ini kenapa bisa gtu ya bukannya gojek punya banyak driver car,82
bagus cepat dan murah,5,21,bagus cepat dan murah,4
cepat dan praktis tinggal pencet datang deeeh,5,45,cepat dan praktis tinggal pencet datang deeeh,7
saya salah alamat tapi gk bs di ganti. gmn kebijakan dari gojek. mohon perhatian nya saya ucapkan terimakasih banyak. suwun. waalaikumsalam,1,139,saya salah alamat tapi gk bs di ganti gmn kebijakan dari gojek mohon perhatian nya saya ucapkan terimakasih banyak suwun waalaikumsalam,21
"penjenputan cepat, pelayanan ok",5,31,penjenputan cepat pelayanan ok,4
