text,rating,length,clean_text,word_count,normalized_text,tokens,final_text
"iklan paling caper, wong saya udah download apk nya dari lama, diklik silang gabisa"" malah bikin ngelag hp saya, maunya apasih? dah di download juga, gak saya gunain karna pertama kali nyoba pesen gojek pake promo, ga dapet"" drivernyaaaaa lamaaaa, bolak balik buka gofood juga promonya ga ada"" padahal pengguna baru lho, hihhh sebel saya",1,337,iklan paling caper wong saya udah download apk nya dari lama diklik silang gabisa malah bikin ngelag hp saya maunya apasih dah di download juga gak saya gunain karna pertama kali nyoba pesen gojek pake promo ga dapet drivernyaaaaa lamaaaa bolak balik buka gofood juga promonya ga ada padahal pengguna baru lho hihhh sebel saya,55,iklan paling caper wong saya udah download apk nya dari lama diklik silang gabisa malah bikin ngelag hp saya maunya apasih dah di download juga gak saya gunain karna pertama kali nyoba pesen gojek pake promo tidak dapet drivernyaaaaa lamaaaa bolak balik buka gofood juga promonya tidak ada padahal pengguna baru lho hihhh sebel saya,"['iklan', 'paling', 'caper', 'wong', 'udah', 'download', 'apk', 'nya', 'lama', 'klik', 'silang', 'gabisa', 'malah', 'bikin', 'ngelag', 'hp', 'mau', 'apasih', 'dah', 'download', 'gak', 'gunain', 'karna', 'pertama', 'kali', 'nyoba', 'sen', 'gojek', 'pake', 'promo', 'dapet', 'drivernyaaaaa', 'lamaaaa', 'bolak', 'balik', 'buka', 'gofood', 'promonya', 'padahal', 'guna', 'baru', 'lho', 'hihhh', 'sebel']",iklan paling caper wong udah download apk nya lama klik silang gabisa malah bikin ngelag hp mau apasih dah download gak gunain karna pertama kali nyoba sen gojek pake promo dapet drivernyaaaaa lamaaaa bolak balik buka gofood promonya padahal guna baru lho hihhh sebel
banyak driver yang sangat ramah saya suka,5,41,banyak driver yang sangat ramah saya suka,7,banyak driver yang sangat ramah saya suka,"['banyak', 'driver', 'sangat', 'ramah', 'suka']",banyak driver sangat ramah suka
perbanyak lagi diskoun-nya yaa,5,30,perbanyak lagi diskounnya yaa,4,perbanyak lagi diskounnya yaa,"['banyak', 'diskounnya', 'yaa']",banyak diskounnya yaa
apl ini sangat bagus tidak mengecewakan,5,39,apl ini sangat bagus tidak mengecewakan,6,apl ini sangat bagus tidak mengecewakan,"['apl', 'sangat', 'bagus', 'kecewa']",apl sangat bagus kecewa
mantap gasssspol. ngak kayak yg lain. ini driver top. agak laen dari yang lain. layanannya didasari dengan hati hingga penuh dedikasi. terima kasih mas wintoro. sukses. bertambah rejeki dan sehat selalu,5,202,mantap gasssspol ngak kayak yg lain ini driver top agak laen dari yang lain layanannya didasari dengan hati hingga penuh dedikasi terima kasih mas wintoro sukses bertambah rejeki dan sehat selalu,31,mantap gasssspol ngak kayak yg lain ini driver top agak laen dari yang lain layanannya didasari dengan hati hingga penuh dedikasi terima kasih mas wintoro sukses bertambah rejeki dan sehat selalu,"['mantap', 'gasssspol', 'ngak', 'kayak', 'yg', 'driver', 'top', 'laen', 'layan', 'dasar', 'hati', 'hingga', 'penuh', 'dedikasi', 'terima', 'kasih', 'mas', 'wintoro', 'sukses', 'tambah', 'rejeki', 'sehat', 'selalu']",mantap gasssspol ngak kayak yg driver top laen layan dasar hati hingga penuh dedikasi terima kasih mas wintoro sukses tambah rejeki sehat selalu
baikk aku sukaa,5,15,baikk aku sukaa,3,baikk aku sukaa,"['baikk', 'aku', 'sukaa']",baikk aku sukaa
sejauh ini pelayanan gojek & gocar sangat membantu dan memberikan pelayanan terbaik untuk masyarakat yang mau kemana² gak perlu cari ojek atau taksi yang jauh dari rumah sekarang tinggal buka aplikasi gojek langsung pesan apa yang kita pilih,5,241,sejauh ini pelayanan gojek gocar sangat membantu dan memberikan pelayanan terbaik untuk masyarakat yang mau kemana gak perlu cari ojek atau taksi yang jauh dari rumah sekarang tinggal buka aplikasi gojek langsung pesan apa yang kita pilih,37,sejauh ini pelayanan gojek gocar sangat membantu dan memberikan pelayanan terbaik untuk masyarakat yang mau kemana gak perlu cari ojek atau taksi yang jauh dari rumah sekarang tinggal buka aplikasi gojek langsung pesan apa yang kita pilih,"['jauh', 'layan', 'gojek', 'gocar', 'sangat', 'bantu', 'beri', 'layan', 'baik', 'masyarakat', 'mau', 'gak', 'perlu', 'cari', 'ojek', 'taksi', 'jauh', 'rumah', 'sekarang', 'tinggal', 'buka', 'aplikasi', 'gojek', 'langsung', 'pesan', 'apa', 'pilih']",jauh layan gojek gocar sangat bantu beri layan baik masyarakat mau gak perlu cari ojek taksi jauh rumah sekarang tinggal buka aplikasi gojek langsung pesan apa pilih
good job awesome,5,16,good job awesome,3,good job awesome,"['good', 'job', 'awesome']",good job awesome
saya sangat bersyukur dengan adanya aplikasi gojek semua simple keren semangat beraktivitas mantap,5,98,saya sangat bersyukur dengan adanya aplikasi gojek semua simple keren semangat beraktivitas mantap,13,saya sangat bersyukur dengan adanya aplikasi gojek semua simple keren semangat beraktivitas mantap,"['sangat', 'syukur', 'ada', 'aplikasi', 'gojek', 'semua', 'simple', 'keren', 'semangat', 'aktivitas', 'mantap']",sangat syukur ada aplikasi gojek semua simple keren semangat aktivitas mantap
"saya sangat kecewa dengan cara gojek menagih, saya telat 3 hari, dan gojek sudah menyuruh debt collector untuk meneror saya. akun gopay later saya pun sudah lama di nonaktifkan, padahal selama ini saya bayar tepat waktu.",1,220,saya sangat kecewa dengan cara gojek menagih saya telat hari dan gojek sudah menyuruh debt collector untuk meneror saya akun gopay later saya pun sudah lama di nonaktifkan padahal selama ini saya bayar tepat waktu,35,saya sangat kecewa dengan cara gojek menagih saya telat hari dan gojek sudah menyuruh debt collector untuk meneror saya akun gopay later saya pun sudah lama di nonaktifkan padahal selama ini saya bayar tepat waktu,"['sangat', 'kecewa', 'cara', 'gojek', 'tagih', 'telat', 'hari', 'gojek', 'suruh', 'debt', 'collector', 'teror', 'akun', 'gopay', 'later', 'lama', 'nonaktif', 'padahal', 'lama', 'bayar', 'tepat', 'waktu']",sangat kecewa cara gojek tagih telat hari gojek suruh debt collector teror akun gopay later lama nonaktif padahal lama bayar tepat waktu
banyak banget dendanya. ga da pemberitahuan sblm jatuh tempo. nnt sdh lwt jatuh temponya (kena bunga) baru diinfokan. niat mau cari promo (dpt diskon bayar via paylater) yg diskonnya cmn 20rb tp saat lupa bayar bungannya 50rb 🤭 nyesal kejar promo pdhl saldo cukup aja. apes betul.,1,280,banyak banget dendanya ga da pemberitahuan sblm jatuh tempo nnt sdh lwt jatuh temponya kena bunga baru diinfokan niat mau cari promo dpt diskon bayar via paylater yg diskonnya cmn rb tp saat lupa bayar bungannya rb nyesal kejar promo pdhl saldo cukup aja apes betul,46,banyak banget dendanya tidak da pemberitahuan sblm jatuh tempo nnt sdh lwt jatuh temponya kena bunga baru diinfokan niat mau cari promo dpt diskon bayar via paylater yg diskonnya cmn rb tapi saat lupa bayar bungannya rb nyesal kejar promo pdhl saldo cukup saja apes betul,"['banyak', 'banget', 'denda', 'da', 'pemberitahuan', 'sblm', 'jatuh', 'tempo', 'nnt', 'sdh', 'lwt', 'jatuh', 'tempo', 'kena', 'bunga', 'baru', 'info', 'niat', 'mau', 'cari', 'promo', 'dpt', 'diskon', 'bayar', 'via', 'paylater', 'yg', 'diskon', 'cmn', 'rb', 'lupa', 'bayar', 'bung', 'rb', 'nyesal', 'kejar', 'promo', 'pdhl', 'saldo', 'cukup', 'apes', 'betul']",banyak banget denda da pemberitahuan sblm jatuh tempo nnt sdh lwt jatuh tempo kena bunga baru info niat mau cari promo dpt diskon bayar via paylater yg diskon cmn rb lupa bayar bung rb nyesal kejar promo pdhl saldo cukup apes betul
"aneh banget beli token listrik 20k ajh di sangka transaksi yang mencurigakan terus langsung di blokir paylater nya lucu banget sumpah,katanya tunggu selama 7hari sekarang sudah 1bulan lebih tidak bisa di gunakan lucu banget kan,gopay makin aneh,lagi dan lagi gopay dengan keanehan nya",1,284,aneh banget beli token listrik k ajh di sangka transaksi yang mencurigakan terus langsung di blokir paylater nya lucu banget sumpahkatanya tunggu selama hari sekarang sudah bulan lebih tidak bisa di gunakan lucu banget kangopay makin anehlagi dan lagi gopay dengan keanehan nya,43,aneh banget beli token listrik k ajh di sangka transaksi yang mencurigakan terus langsung di blokir paylater nya lucu banget sumpahkatanya tunggu selama hari sekarang sudah bulan lebih tidak bisa di gunakan lucu banget kangopay makin anehlagi dan lagi gopay dengan keanehan nya,"['aneh', 'banget', 'beli', 'token', 'listrik', 'k', 'ajh', 'sangka', 'transaksi', 'curiga', 'terus', 'langsung', 'blokir', 'paylater', 'nya', 'lucu', 'banget', 'sumpahkatanya', 'tunggu', 'lama', 'hari', 'sekarang', 'bulan', 'lebih', 'guna', 'lucu', 'banget', 'kangopay', 'makin', 'anehlagi', 'gopay', 'aneh', 'nya']",aneh banget beli token listrik k ajh sangka transaksi curiga terus langsung blokir paylater nya lucu banget sumpahkatanya tunggu lama hari sekarang bulan lebih guna lucu banget kangopay makin anehlagi gopay aneh nya
sangat membantu dan byk voucer,5,30,sangat membantu dan byk voucer,5,sangat membantu dan byk voucer,"['sangat', 'bantu', 'byk', 'voucer']",sangat bantu byk voucer
semoga banyak promo promo spesial,5,33,semoga banyak promo promo spesial,5,semoga banyak promo promo spesial,"['moga', 'banyak', 'promo', 'promo', 'spesial']",moga banyak promo promo spesial
"mantap aplikasi nya bagus tapi tolong ya kalo ada jalur yang lebih singkat pilih lewat situ aja karna setiap saya memesan untuk pulang ke rumah selalu melewati jalur yang jauh padahal sudah ada jalur yang lebih singkat masa setiap saya mesen selalu harus bilang ""lewat sini aja mas""",4,282,mantap aplikasi nya bagus tapi tolong ya kalo ada jalur yang lebih singkat pilih lewat situ aja karna setiap saya memesan untuk pulang ke rumah selalu melewati jalur yang jauh padahal sudah ada jalur yang lebih singkat masa setiap saya mesen selalu harus bilang lewat sini aja mas,48,mantap aplikasi nya bagus tapi tolong ya kalo ada jalur yang lebih singkat pilih lewat situ saja karna setiap saya memesan untuk pulang ke rumah selalu melewati jalur yang jauh padahal sudah ada jalur yang lebih singkat masa setiap saya mesen selalu harus bilang lewat sini saja mas,"['mantap', 'aplikasi', 'nya', 'bagus', 'kalo', 'jalur', 'lebih', 'singkat', 'pilih', 'lewat', 'situ', 'karna', 'mes', 'pulang', 'rumah', 'selalu', 'lewat', 'jalur', 'jauh', 'padahal', 'jalur', 'lebih', 'singkat', 'masa', 'mesen', 'selalu', 'bilang', 'lewat', 'sini', 'mas']",mantap aplikasi nya bagus kalo jalur lebih singkat pilih lewat situ karna mes pulang rumah selalu lewat jalur jauh padahal jalur lebih singkat masa mesen selalu bilang lewat sini mas
sudah lebih cepat,5,17,sudah lebih cepat,3,sudah lebih cepat,"['lebih', 'cepat']",lebih cepat
nyaman dan cepat dateng drivernya,5,33,nyaman dan cepat dateng drivernya,5,nyaman dan cepat dateng drivernya,"['nyaman', 'cepat', 'dateng', 'drivernya']",nyaman cepat dateng drivernya
ramah dan baik,5,14,ramah dan baik,3,ramah dan baik,"['ramah', 'baik']",ramah baik
gak bisa order apa2,1,19,gak bisa order apa,4,gak bisa order apa,"['gak', 'order', 'apa']",gak order apa
pengajuan ulang gopay pinjem di tolak setelah di lunasi .. gak jelas banget .. padahal yg pertama bisa acc .. giliran di lunasin lgsg di blokir .. tau gitu gk usah di bayar aja !,1,178,pengajuan ulang gopay pinjem di tolak setelah di lunasi gak jelas banget padahal yg pertama bisa acc giliran di lunasin lgsg di blokir tau gitu gk usah di bayar aja,30,pengajuan ulang gopay pinjem di tolak setelah di lunasi gak jelas banget padahal yg pertama bisa acc giliran di lunasin lgsg di blokir tau gitu tidak usah di bayar saja,"['aju', 'ulang', 'gopay', 'pinjem', 'tolak', 'lunas', 'gak', 'jelas', 'banget', 'padahal', 'yg', 'pertama', 'acc', 'gilir', 'lunasin', 'lgsg', 'blokir', 'tau', 'gitu', 'usah', 'bayar']",aju ulang gopay pinjem tolak lunas gak jelas banget padahal yg pertama acc gilir lunasin lgsg blokir tau gitu usah bayar
tolong dong perubahan area yg jelas... dong orderan susah banget... kasian driver kerja malah ga dapat2 orerann... kasian ada keluarga yg menunggu dirumah...,5,157,tolong dong perubahan area yg jelas dong orderan susah banget kasian driver kerja malah ga dapat orerann kasian ada keluarga yg menunggu dirumah,23,tolong dong perubahan area yg jelas dong orderan susah banget kasian driver kerja malah tidak dapat orerann kasian ada keluarga yg menunggu dirumah,"['dong', 'ubah', 'area', 'yg', 'jelas', 'dong', 'order', 'susah', 'banget', 'kasi', 'driver', 'kerja', 'malah', 'orerann', 'kasi', 'keluarga', 'yg', 'tunggu', 'rumah']",dong ubah area yg jelas dong order susah banget kasi driver kerja malah orerann kasi keluarga yg tunggu rumah
lebih memudahkan segalanya,5,26,lebih memudahkan segalanya,3,lebih memudahkan segalanya,"['lebih', 'mudah', 'segala']",lebih mudah segala
"sudah 4 hari ini semua pelanggan kalau order susah dapat driver, tolong sangat diperhatikan jgn sampai beralih ke ojek lain. jgn terlalu banyak diutak-atik kalau malah menyebabkan pelanggan kabur",5,195,sudah hari ini semua pelanggan kalau order susah dapat driver tolong sangat diperhatikan jgn sampai beralih ke ojek lain jgn terlalu banyak diutakatik kalau malah menyebabkan pelanggan kabur,28,sudah hari ini semua pelanggan kalau order susah dapat driver tolong sangat diperhatikan jgn sampai beralih ke ojek lain jgn terlalu banyak diutakatik kalau malah menyebabkan pelanggan kabur,"['hari', 'semua', 'langgan', 'kalau', 'order', 'susah', 'driver', 'sangat', 'perhati', 'jgn', 'alih', 'ojek', 'jgn', 'terlalu', 'banyak', 'diutakatik', 'kalau', 'malah', 'sebab', 'langgan', 'kabur']",hari semua langgan kalau order susah driver sangat perhati jgn alih ojek jgn terlalu banyak diutakatik kalau malah sebab langgan kabur
"padahal tidak melakukan tindak kriminal, tetap saja di pm. dasar gojek perusahaan yahudi, gak punya kebijaksanaan. untung ada maxim & indriver... 💰👍",1,148,padahal tidak melakukan tindak kriminal tetap saja di pm dasar gojek perusahaan yahudi gak punya kebijaksanaan untung ada maxim indriver,20,padahal tidak melakukan tindak kriminal tetap saja di pm dasar gojek perusahaan yahudi gak punya kebijaksanaan untung ada maxim indriver,"['padahal', 'laku', 'tindak', 'kriminal', 'tetap', 'pm', 'dasar', 'gojek', 'usaha', 'yahudi', 'gak', 'punya', 'bijaksana', 'untung', 'maxim', 'indriver']",padahal laku tindak kriminal tetap pm dasar gojek usaha yahudi gak punya bijaksana untung maxim indriver
"mau bikin akun malah nomor telponnya udah dipake orang sebelumnya, mau masuk gk bisa, mau hapus gk bisa, udah kirim email malah disuruh lewat aplikasi, niat mau chat kendala malah isinya bot semua, udah ikut instruksi tetap gak bisa dan cuma muter-muter doang instruksinya, lama-lama bangkrut kalo kek gini kalian.⚠️⚠️⚠️",1,320,mau bikin akun malah nomor telponnya udah dipake orang sebelumnya mau masuk gk bisa mau hapus gk bisa udah kirim email malah disuruh lewat aplikasi niat mau chat kendala malah isinya bot semua udah ikut instruksi tetap gak bisa dan cuma mutermuter doang instruksinya lamalama bangkrut kalo kek gini kalian,50,mau bikin akun malah nomor telponnya udah dipake orang sebelumnya mau masuk tidak bisa mau hapus tidak bisa udah kirim email malah disuruh lewat aplikasi niat mau chat kendala malah isinya bot semua udah ikut instruksi tetap gak bisa dan cuma mutermuter doang instruksinya lamalama bangkrut kalo kek gini kalian,"['mau', 'bikin', 'akun', 'malah', 'nomor', 'telpon', 'udah', 'dipake', 'orang', 'belum', 'mau', 'masuk', 'mau', 'hapus', 'udah', 'kirim', 'email', 'malah', 'suruh', 'lewat', 'aplikasi', 'niat', 'mau', 'chat', 'kendala', 'malah', 'isi', 'bot', 'semua', 'udah', 'ikut', 'instruksi', 'tetap', 'gak', 'cuma', 'mutermuter', 'doang', 'instruksi', 'lamalama', 'bangkrut', 'kalo', 'kek', 'gin', 'kalian']",mau bikin akun malah nomor telpon udah dipake orang belum mau masuk mau hapus udah kirim email malah suruh lewat aplikasi niat mau chat kendala malah isi bot semua udah ikut instruksi tetap gak cuma mutermuter doang instruksi lamalama bangkrut kalo kek gin kalian
g ngotak utang 30rb telat sehari doang denda 50rb. d platform yang lain g segitunya. noh gua lunasin abis itu gua hapus akunnya 🤬🤬🤬,1,131,g ngotak utang rb telat sehari doang denda rb d platform yang lain g segitunya noh gua lunasin abis itu gua hapus akunnya,23,g ngotak utang rb telat sehari doang denda rb d platform yang lain g segitunya noh gua lunasin abis itu gua hapus akunnya,"['g', 'ngotak', 'utang', 'rb', 'telat', 'hari', 'doang', 'denda', 'rb', 'd', 'platform', 'g', 'segitunya', 'noh', 'gua', 'lunasin', 'abis', 'gua', 'hapus', 'akun']",g ngotak utang rb telat hari doang denda rb d platform g segitunya noh gua lunasin abis gua hapus akun
memudahkan dalam segala hal beli makan antar orderan antar ke tujuan,5,68,memudahkan dalam segala hal beli makan antar orderan antar ke tujuan,11,memudahkan dalam segala hal beli makan antar orderan antar ke tujuan,"['mudah', 'segala', 'beli', 'makan', 'antar', 'order', 'antar', 'tuju']",mudah segala beli makan antar order antar tuju
